LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,AQSN_DTE,ORIG_DTE,FRST_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,LPI_DTE,FCC_DTE,DISP_DTE,SERVICER,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST
000135176906,B,NewRez LLC,6.75,700000,360,68,68,1,47,773,N,P,SF,1,P,AZ,852,NULL,NULL,N,None,2023-03-01,2022-10-01,2022-12-01,6.75,697000,38060,,,,,,,,,,,,,,,NewRez LLC,,,,,,,,,,,,,,,,,,,,,,773,1029411.76,,,,,,,,
000135176907,C,Truist Bank,7.38,340000,360,70,70,2,44,700,N,P,SF,1,P,TN,374,NULL,774,N,None,2023-03-01,2022-11-01,2023-01-01,7.38,338324.17,16860,,,,,,,,,,,,,,,Truist Bank,,,,,,,,,,,,,,,,,,,,,,700,485714.29,,,,,,,,
000135176908,C,PHH Mortgage Corporation,5.88,136000,360,80,80,1,30,814,N,P,SF,1,P,WY,825,NULL,NULL,N,None,2023-03-01,2023-01-01,2023-03-01,5.88,135000,00000,,,,,,,,,,,,,,,PHH Mortgage Corporation,,,,,,,,,,,,,,,,,,,,,,814,170000,,,,,,,,
000135176909,R,Other,5.75,580000,360,80,80,1,40,802,Y,P,SF,1,P,MA,018,NULL,NULL,N,None,2023-03-01,2023-01-01,2023-03-01,5.75,1801.62,14460,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,802,725000,,,,,,,,
000135176910,R,Other,6.5,624000,360,78,78,2,41,814,N,R,SF,1,P,TX,754,NULL,814,N,None,2023-03-01,2023-01-01,2023-03-01,6.5,615644.18,00000,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,814,800000,,,,,,,,
000135176911,R,"Rocket Mortgage, LLC",6.5,263000,360,80,80,1,40,729,N,P,SF,1,P,KY,424,NULL,NULL,Y,None,2023-03-01,2022-12-01,2023-02-01,6.5,259748.94,00000,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,729,328750,,,,,,,,
000135176912,B,Other,5.62,204000,360,30,30,1,49,756,N,R,SF,1,P,NY,114,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,5.62,180483.69,35620,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,756,680000,,,,,,,,
000135176913,R,Other,6.5,204000,360,95,95,2,37,784,Y,P,SF,1,P,OH,448,30,719,N,BPMI,2023-03-01,2022-12-01,2023-02-01,6.5,166936.4,00000,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,719,214736.84,,,,,,,,
000135176914,R,Other,6.62,349000,360,97,97,2,29,747,Y,P,PU,1,P,UT,847,35,751,N,BPMI,2023-03-01,2023-01-01,2023-03-01,6.62,344886.88,41100,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,747,359793.81,,,,,,,,
000135176915,R,NewRez LLC,6.62,399000,360,95,95,1,43,708,Y,P,SF,1,P,CA,958,30,NULL,N,BPMI,2023-03-01,2023-01-01,2023-03-01,6.62,394268.93,40900,,,,,,,,,,,,,,,New Residential Mortgage LLC,,,,,,,,,,,,,,,,,,,,,,708,420000,,,,,,,,
